Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
14223,480.953003,201.389557,90.385887,0.893627,14441,0.641948,Cammeo
12518,460.721985,195.650925,82.363739,0.907073,12813,0.689887,Cammeo
12854,474.138,202.195709,81.746956,0.914628,13242,0.643279,Cammeo
15705,498.963989,208.541168,96.637238,0.886151,16009,0.773645,Cammeo
14451,487.220001,201.294693,92.739525,0.887548,14776,0.647272,Cammeo
14064,486.890015,204.163071,88.521423,0.901114,14388,0.64838,Cammeo
13524,487.468994,208.153427,83.614265,0.915773,13830,0.637925,Cammeo
13677,494.63501,219.599564,79.63166,0.931936,13936,0.532096,Cammeo
12921,476.746002,206.222626,80.403679,0.920862,13218,0.546921,Cammeo
13251,460.532013,190.916306,88.997559,0.8847,13528,0.749915,Cammeo
14601,505.248993,215.934387,86.75872,0.915735,14991,0.668544,Cammeo
15141,505.42099,209.593597,93.092377,0.895949,15559,0.5664,Cammeo
12599,455.281006,188.015915,86.374489,0.88823,12897,0.621252,Cammeo
14709,515.849976,222.722839,85.431557,0.923509,14941,0.524797,Cammeo
12047,455.608002,195.666077,80.269142,0.91198,12339,0.54403,Cammeo
13158,470.996002,201.018387,84.503014,0.907351,13462,0.619783,Cammeo
15191,501.891998,211.72319,92.785706,0.898858,15492,0.568377,Cammeo
13837,483.593994,204.310928,87.289253,0.90414,14139,0.569424,Cammeo
13645,484.325012,205.538971,85.921928,0.908432,13972,0.547135,Cammeo
16199,511.227997,210.001648,99.417755,0.88084,16637,0.738265,Cammeo
13169,474.837006,201.380112,84.487091,0.907737,13505,0.547113,Cammeo
14022,483.019012,204.482956,88.569267,0.901328,14358,0.704729,Cammeo
12471,445.373993,184.992065,86.859756,0.882915,12688,0.671784,Cammeo
12706,463.450989,194.181458,84.884857,0.899393,13011,0.797314,Cammeo
14918,500.270996,210.424606,91.210541,0.901173,15185,0.640725,Cammeo
14641,505.002014,211.583649,90.033432,0.904948,15034,0.629558,Cammeo
15216,500.368011,208.228424,94.302582,0.891571,15558,0.573043,Cammeo
12349,467.665009,202.687805,78.67498,0.921593,12572,0.548162,Cammeo
13584,478.057007,203.836945,85.427422,0.907942,13877,0.676326,Cammeo
14138,490.834015,206.180847,89.367279,0.901182,14523,0.762567,Cammeo
11956,438.895996,184.643707,83.218422,0.892677,12121,0.577027,Cammeo
10604,425.925995,179.151184,76.351692,0.904636,10830,0.574898,Cammeo
14592,494.440002,212.679977,88.287392,0.909767,14838,0.745631,Cammeo
12770,458.302002,196.632782,83.195282,0.906083,12949,0.60287,Cammeo
15143,504.140015,207.734177,94.148384,0.891401,15628,0.571326,Cammeo
12917,473.234985,200.325333,83.20118,0.909671,13302,0.666099,Cammeo
15714,501.154999,205.013306,99.275543,0.874935,16074,0.733888,Cammeo
14655,491.714996,200.146896,94.780464,0.880764,15181,0.60091,Cammeo
15639,499.139008,207.980453,96.290375,0.88637,15895,0.706784,Cammeo
15166,502.165009,214.139862,91.385109,0.904368,15475,0.794864,Cammeo
13742,493.854004,212.608002,84.886856,0.916836,14272,0.583227,Cammeo
13983,483.667999,201.485214,89.057014,0.897014,14320,0.567492,Cammeo
11386,450.119995,195.460434,75.842888,0.92165,11612,0.51286,Cammeo
15636,513.22699,214.38356,93.97776,0.898798,15913,0.566276,Cammeo
13507,468.239014,197.509247,87.929596,0.895435,13735,0.577222,Cammeo
13186,477.334015,201.596771,84.669991,0.907526,13516,0.541831,Cammeo
14013,458.911011,181.951492,99.443764,0.837433,14323,0.794388,Cammeo
16053,523.840027,220.913773,93.891678,0.905186,16496,0.747973,Cammeo
13557,483.908997,206.20372,84.387306,0.912426,13845,0.55258,Cammeo
13104,476.989014,202.42511,83.613289,0.910705,13464,0.538816,Cammeo
15167,514.231018,220.546524,88.99762,0.914965,15456,0.628033,Cammeo
14159,489.436005,209.131317,87.114655,0.909111,14410,0.547949,Cammeo
14436,485.825989,204.469955,90.749924,0.896111,14864,0.614481,Cammeo
15320,511.929993,218.623154,91.169815,0.908898,15740,0.545642,Cammeo
15341,504.463013,210.872192,93.98658,0.89518,15628,0.768972,Cammeo
14399,484.082001,200.173538,92.851593,0.885911,14849,0.604797,Cammeo
16835,522.534973,216.271652,100.43251,0.885635,17404,0.735217,Cammeo
13655,471.524994,193.196182,91.557755,0.880573,14053,0.710976,Cammeo
14276,492.839996,208.876953,88.121086,0.906651,14706,0.582456,Cammeo
12199,454.403992,191.909576,82.140762,0.90377,12555,0.750523,Cammeo
12223,445.438995,185.029083,85.371506,0.887195,12460,0.796027,Cammeo
13884,491.618011,207.654373,86.343491,0.909454,14232,0.542365,Cammeo
15833,530.335022,225.223389,91.511063,0.913734,16337,0.586407,Cammeo
12861,471.92099,193.250916,86.458221,0.89434,13330,0.633422,Cammeo
15080,500.006012,209.589279,92.796661,0.896643,15614,0.732323,Cammeo
16898,526.94397,217.871796,100.345032,0.887624,17274,0.624464,Cammeo
16254,532.778015,223.54863,94.119499,0.907049,16680,0.553686,Cammeo
14274,488.829987,203.567856,89.929993,0.897129,14529,0.572357,Cammeo
13965,478.576996,203.276352,88.107506,0.901184,14135,0.807879,Cammeo
13860,484.772003,200.776627,88.840828,0.896775,14238,0.660881,Cammeo
13568,482.457001,201.880478,87.073853,0.902202,14068,0.635801,Cammeo
14546,494.167999,212.313721,87.872238,0.910332,14826,0.625742,Cammeo
16559,524.129028,223.637619,94.947906,0.905399,16961,0.775089,Cammeo
15308,513.98999,219.467911,90.023933,0.911999,15720,0.763263,Cammeo
14741,497.225006,212.463364,89.453728,0.907046,15036,0.553715,Cammeo
13397,474.86499,200.546265,86.396736,0.902444,13762,0.694037,Cammeo
15559,514.278992,221.11908,90.463837,0.912481,15903,0.775778,Cammeo
13665,482.076996,208.964035,84.617264,0.914345,13998,0.601214,Cammeo
15390,511.509003,214.466095,92.457222,0.902302,15788,0.773289,Cammeo
14017,471.813995,194.643448,92.36013,0.88025,14314,0.708788,Cammeo
14209,496.272003,208.822906,87.758034,0.907408,14667,0.565735,Cammeo
14786,505.389008,214.218384,89.426567,0.908698,15177,0.734161,Cammeo
15540,516.315979,217.387222,92.473465,0.905012,16084,0.632479,Cammeo
17442,539.776001,228.593475,98.192047,0.903044,17698,0.576252,Cammeo
17082,548.445984,230.188721,95.757584,0.909366,17576,0.592467,Cammeo
14195,488.459991,203.512711,89.958656,0.897,14555,0.717354,Cammeo
15172,504.15799,213.22467,91.667061,0.902873,15477,0.622441,Cammeo
14434,486.667999,201.271957,92.733772,0.887536,14754,0.625987,Cammeo
12863,457.19101,195.700394,84.500793,0.901976,13023,0.808587,Cammeo
14019,475.755005,194.517929,92.816956,0.878814,14308,0.59112,Cammeo
15888,518.554993,218.194092,94.056854,0.902319,16245,0.557532,Cammeo
13000,460.371002,195.098755,85.722649,0.898301,13231,0.582855,Cammeo
14806,509.376007,214.142426,89.691704,0.908059,15594,0.708794,Cammeo
14713,493.212006,206.916122,91.648468,0.896558,15162,0.594033,Cammeo
13722,482.342987,202.278183,87.753891,0.900996,14189,0.605667,Cammeo
15713,518.452026,218.767258,92.429176,0.906363,16038,0.583519,Cammeo
12765,460.346008,196.390549,83.898972,0.904155,13139,0.574353,Cammeo
13487,473.721985,197.119659,87.784622,0.895363,13773,0.751407,Cammeo
15252,501.332001,207.524048,94.273094,0.890861,15595,0.591713,Cammeo
13684,464.56601,189.531052,92.905739,0.871617,13928,0.605648,Cammeo
14709,489.528992,204.923462,91.86573,0.893887,15041,0.6398,Cammeo
14331,502.029999,212.581451,87.358101,0.911663,14618,0.542759,Cammeo
15475,511.796997,220.476929,90.20723,0.912469,15734,0.827319,Cammeo
14368,491.562988,211.297073,87.208015,0.910855,14596,0.624424,Cammeo
13670,486.809998,207.742203,84.577698,0.913371,13923,0.58096,Cammeo
14232,505.88501,214.102875,86.414108,0.914931,14702,0.52602,Cammeo
14441,495.365997,210.023285,89.203018,0.90532,14805,0.540214,Cammeo
14093,488.597992,204.392456,89.159607,0.899841,14463,0.581107,Cammeo
15121,503.487,212.938522,91.330505,0.903349,15470,0.783796,Cammeo
15569,528.789001,221.576843,90.982384,0.91181,16286,0.565693,Cammeo
15684,513.890991,221.945328,90.825134,0.912434,15944,0.78201,Cammeo
14622,481.615997,200.053558,94.383636,0.88171,14845,0.608946,Cammeo
14850,509.274994,215.963196,89.126549,0.91087,15372,0.799419,Cammeo
14017,491.097992,212.42836,84.690948,0.91709,14287,0.762125,Cammeo
11513,438.625,189.722214,77.685509,0.912324,11736,0.684239,Cammeo
14793,501.303986,211.601135,90.112534,0.904789,15049,0.664525,Cammeo
14466,497.839996,204.409546,91.214783,0.894916,14885,0.656501,Cammeo
12162,454.776001,191.120804,82.317429,0.902491,12493,0.745221,Cammeo
17180,547.215027,238.435089,93.014946,0.92077,17517,0.572209,Cammeo
13831,483.615997,202.875778,88.290863,0.900335,14270,0.591068,Cammeo
13925,478.290009,196.574768,91.431145,0.885247,14323,0.66278,Cammeo
14045,482.742004,200.027237,90.713844,0.891252,14305,0.572611,Cammeo
16588,531.39502,221.885498,96.652573,0.900142,16854,0.578988,Cammeo
14966,499.638,205.474823,93.381622,0.890763,15387,0.58143,Cammeo
16011,525.06897,222.946457,92.382454,0.910108,16298,0.556633,Cammeo
14050,481.251007,191.823853,95.061974,0.868569,14600,0.607699,Cammeo
14173,480.683014,201.93576,90.24498,0.894584,14519,0.597563,Cammeo
14106,487.252014,209.569382,86.555199,0.910724,14348,0.542705,Cammeo
15967,511.61499,211.690781,96.975227,0.888901,16329,0.586677,Cammeo
11667,447.524994,186.671249,80.842873,0.901357,12039,0.667296,Cammeo
14890,502.540985,206.228531,93.457314,0.891422,15349,0.58982,Cammeo
13279,474.235992,200.544708,85.008141,0.905715,13757,0.728495,Cammeo
13942,502.031006,214.337982,83.719704,0.920562,14273,0.644508,Cammeo
13545,482.735992,208.803268,83.305153,0.916966,13759,0.532555,Cammeo
14126,498.424988,216.885483,83.810387,0.92232,14410,0.760771,Cammeo
14530,487.096985,201.806229,93.058952,0.887332,14926,0.687128,Cammeo
13708,486.395996,204.623734,86.339729,0.906622,14361,0.580675,Cammeo
14252,493.114014,202.654602,91.309654,0.892742,14627,0.563766,Cammeo
14571,489.730988,202.393768,92.942085,0.888326,14884,0.584899,Cammeo
16194,528.120972,226.87439,91.635185,0.914802,16524,0.552018,Cammeo
14356,492.022003,209.375565,88.594307,0.906066,14652,0.576824,Cammeo
15691,511.848999,213.612167,94.91935,0.895851,16124,0.659147,Cammeo
14105,496.227997,209.275421,86.941948,0.909619,14567,0.603707,Cammeo
14013,478.277008,194.782562,92.950325,0.878794,14374,0.604009,Cammeo
15009,502.488007,211.090363,91.761543,0.900574,15370,0.615754,Cammeo
13954,484.532013,203.678177,88.208717,0.901356,14288,0.750861,Cammeo
16226,517.684021,217.080566,95.938377,0.897041,16466,0.583145,Cammeo
14505,492.682007,205.41214,90.76255,0.897086,14834,0.582952,Cammeo
15281,509.516998,212.696884,92.993835,0.899358,15689,0.64023,Cammeo
15009,507.416992,217.132996,88.924881,0.912292,15387,0.598588,Cammeo
14652,485.546997,201.553604,93.448616,0.886023,14883,0.59315,Cammeo
15330,501.696991,209.679321,93.872726,0.894185,15617,0.582624,Cammeo
14407,482.79599,202.832336,91.191925,0.893234,14671,0.742629,Cammeo
15741,523.776001,227.502335,89.124352,0.920071,15999,0.563225,Cammeo
14589,495.929993,210.283936,89.42495,0.905072,14853,0.665101,Cammeo
16376,531.000977,227.944855,92.668518,0.913633,16667,0.741767,Cammeo
14294,484.194,205.128403,89.001312,0.90097,14542,0.70445,Cammeo
14541,492.785004,204.257141,92.471016,0.891653,14893,0.758292,Cammeo
16734,531.507019,220.69548,97.839333,0.896362,17242,0.657111,Cammeo
13434,483.36499,204.568024,84.155998,0.911462,13773,0.722258,Cammeo
14878,506.020996,212.18158,90.438652,0.904614,15237,0.575774,Cammeo
14504,502.506989,212.247574,87.932129,0.910145,14895,0.553419,Cammeo
14723,491.054993,204.175674,93.065491,0.890077,15021,0.575679,Cammeo
15830,520.51001,219.447617,92.664604,0.906473,16121,0.595113,Cammeo
14549,485.493988,199.757278,93.648277,0.883299,14846,0.619238,Cammeo
14700,506.463989,215.430298,87.760078,0.913263,15050,0.707547,Cammeo
14842,505.726013,214.954742,88.660927,0.910974,15313,0.544501,Cammeo
14400,486.899994,200.137711,93.246513,0.884831,14714,0.618132,Cammeo
12892,473.527008,199.939194,83.235527,0.909225,13193,0.564547,Cammeo
16588,519.559021,218.394455,97.666862,0.894432,16852,0.640068,Cammeo
15676,512.335022,214.767853,93.721939,0.899759,15961,0.77928,Cammeo
16706,533.625977,228.156174,94.207542,0.910773,17037,0.636249,Cammeo
14301,497.773987,209.876358,87.29937,0.909385,14591,0.60068,Cammeo
15070,504.050995,210.025986,92.373222,0.898087,15400,0.64873,Cammeo
15381,503.57901,211.88353,93.309746,0.89781,15749,0.740325,Cammeo
15252,502.591003,211.631165,92.196159,0.900118,15495,0.574463,Cammeo
14887,493.045013,199.164917,96.693703,0.874239,15347,0.617129,Cammeo
14493,506.841003,219.003082,84.919296,0.921763,14804,0.541107,Cammeo
14897,491.184998,205.719849,92.875694,0.892288,15137,0.594453,Cammeo
14690,506.855011,214.159485,88.876007,0.909822,15064,0.584397,Cammeo
13950,476.337006,193.635239,92.944168,0.877271,14280,0.715641,Cammeo
14421,507.804993,213.885681,86.876244,0.913793,14881,0.650943,Cammeo
14517,495.61499,211.802826,88.032501,0.909532,14815,0.687521,Cammeo
14944,500.238007,209.557648,91.528412,0.899573,15255,0.628956,Cammeo
14570,469.981995,185.401459,100.887917,0.838982,14895,0.654537,Cammeo
11838,440.256012,181.323273,83.838394,0.886687,12165,0.601524,Cammeo
15223,514.906982,220.368561,89.436378,0.91394,15492,0.550282,Cammeo
13694,464.559998,191.3311,91.707817,0.877643,13918,0.708799,Cammeo
17948,526.91803,214.093826,107.54245,0.864685,18322,0.66637,Cammeo
14471,503.674011,207.928726,90.160225,0.9011,14894,0.554955,Cammeo
16654,519.036011,217.24971,98.999573,0.890136,16976,0.763385,Cammeo
14990,507.785004,213.485458,90.176323,0.906409,15318,0.565917,Cammeo
16934,533.085999,225.302673,96.450104,0.903736,17323,0.752622,Cammeo
16030,512.853027,210.247482,97.631287,0.885645,16306,0.5978,Cammeo
15035,486.653015,198.219833,97.857498,0.869643,15279,0.623755,Cammeo
16008,521.007019,222.84523,92.129524,0.910539,16315,0.61188,Cammeo
14362,504.576996,211.29306,88.265862,0.908566,14724,0.54186,Cammeo
15815,506.290009,210.504578,96.502357,0.888729,16112,0.795843,Cammeo
14131,490.700989,206.926666,88.28405,0.90442,14519,0.752931,Cammeo
12619,470.614014,202.764511,80.179543,0.918495,12937,0.607939,Cammeo
13792,475.782013,196.706589,90.347107,0.888282,14183,0.773268,Cammeo
14573,493.779999,209.35582,89.437508,0.904156,14847,0.65058,Cammeo
14345,491.019012,207.219833,88.911064,0.903273,14650,0.592622,Cammeo
13166,461.938995,185.600296,91.293594,0.870661,13562,0.656331,Cammeo
11794,456.322998,194.043076,78.798698,0.913834,12116,0.65348,Cammeo
13782,471.131012,194.438339,90.978462,0.883779,14000,0.596623,Cammeo
14533,487.20401,196.814987,95.843079,0.873418,14873,0.65112,Cammeo
12557,443.218994,175.597488,92.33857,0.850575,12860,0.622867,Cammeo
16431,509.38501,208.052872,101.961487,0.87168,16875,0.732219,Cammeo
11940,443.967987,187.333618,82.182785,0.898635,12184,0.636393,Cammeo
15856,509.019989,210.164383,97.760216,0.885226,16160,0.762674,Cammeo
15636,504.182007,212.136246,94.489311,0.895323,15927,0.744997,Cammeo
14787,492.312988,209.678864,90.467735,0.902133,15066,0.795684,Cammeo
16412,508.367004,210.57486,99.994179,0.88006,16759,0.730591,Cammeo
15137,494.605011,206.458527,93.99015,0.890364,15400,0.761725,Cammeo
16199,514.156006,217.630508,95.519356,0.898533,16475,0.707689,Cammeo
15375,515.422974,215.999298,91.616936,0.90559,15780,0.597598,Cammeo
11447,447.346008,190.389053,79.038223,0.909757,11753,0.543542,Cammeo
16094,504.126007,208.371185,99.030296,0.879846,16325,0.648533,Cammeo
11784,438.119995,181.757889,83.744362,0.887532,11981,0.803765,Cammeo
15517,481.377991,194.637512,102.058388,0.851502,15718,0.650117,Cammeo
15065,506.820007,212.436905,91.370277,0.902779,15516,0.724627,Cammeo
15529,509.016998,207.051315,96.988113,0.883503,15993,0.599737,Cammeo
13584,478.536987,204.620651,84.806145,0.91007,13817,0.676023,Cammeo
12618,457.89801,193.81572,83.477356,0.902493,12851,0.582226,Cammeo
13253,473.441986,198.610657,85.918869,0.901586,13535,0.689973,Cammeo
15907,527.210999,224.252197,91.441139,0.913089,16206,0.547667,Cammeo
13084,473.766998,195.838242,86.379929,0.897469,13453,0.588045,Cammeo
15367,501.907013,210.055984,94.479179,0.893139,15644,0.790606,Cammeo
13319,468.231995,192.927246,89.337631,0.886325,13694,0.695219,Cammeo
15715,511.25,210.911606,96.004738,0.890395,16096,0.581413,Cammeo
12745,453.035004,187.005844,87.66729,0.883307,13040,0.605176,Cammeo
14400,481.506012,193.782959,96.51619,0.867141,14876,0.683891,Cammeo
14329,486.277008,206.572296,89.212402,0.901936,14588,0.812762,Cammeo
14818,487.015991,197.828979,97.386116,0.87044,15261,0.632599,Cammeo
13391,486.122009,213.112076,80.994438,0.924964,13661,0.520241,Cammeo
14500,495.106995,214.287842,86.66111,0.914576,14712,0.581209,Cammeo
15815,504.223999,214.654694,94.987984,0.896761,16059,0.80978,Cammeo
12089,439.492004,183.57666,84.694679,0.887214,12302,0.814513,Cammeo
14746,504.313995,220.343445,85.93158,0.920819,14995,0.797512,Cammeo
13569,490.541992,209.849487,83.406357,0.91762,14061,0.530039,Cammeo
15198,499.626007,210.633484,92.945992,0.897375,15521,0.746097,Cammeo
12720,472.234009,201.640854,82.228416,0.913073,13352,0.74508,Cammeo
14229,485.118988,206.597687,88.721329,0.903095,14455,0.745169,Cammeo
13567,481.404999,202.019699,86.418549,0.903886,13976,0.750927,Cammeo
13431,482.529999,212.450607,81.185478,0.924105,13786,0.777977,Cammeo
12985,466.13501,196.666153,84.693092,0.902522,13221,0.588889,Cammeo
15725,515.257996,221.660095,91.23172,0.911372,16027,0.600489,Cammeo
15486,509.135986,211.113556,94.822235,0.893455,15921,0.686345,Cammeo
14674,497.102997,208.436462,91.08699,0.899461,15049,0.682289,Cammeo
13286,480.071014,202.548401,85.116951,0.907418,13633,0.550145,Cammeo
15398,513.02301,214.05426,93.684486,0.899137,15936,0.695044,Cammeo
14145,486.608002,209.35321,86.789474,0.910022,14370,0.766667,Cammeo
16412,515.11499,208.69455,101.941757,0.872579,16857,0.773786,Cammeo
15094,506.506989,217.938293,89.095589,0.912619,15346,0.668557,Cammeo
15360,515.297974,220.921753,89.95549,0.913347,15662,0.641604,Cammeo
13567,473.575012,195.353119,89.237076,0.88957,14020,0.646787,Cammeo
13413,475.390015,196.856781,87.788185,0.895058,13917,0.571009,Cammeo
15236,497.277008,209.16156,94.0653,0.893167,15563,0.763709,Cammeo
15028,498.82901,205.538452,94.584167,0.887827,15382,0.577778,Cammeo
15249,506.049988,212.090942,92.494225,0.899895,15582,0.783044,Cammeo
14363,499.17099,210.245544,88.111778,0.907945,14669,0.606853,Cammeo
14988,491.707001,205.060669,94.85704,0.886577,15270,0.582013,Cammeo
14318,477.493988,195.02356,94.594727,0.874491,14585,0.760867,Cammeo
14456,497.988007,210.531891,88.884293,0.906508,14865,0.678049,Cammeo
15857,515.322021,219.965485,93.154266,0.905898,16109,0.699162,Cammeo
15037,501.46701,208.905579,92.304565,0.89709,15452,0.578613,Cammeo
12286,444.886993,183.288712,86.731056,0.880958,12583,0.681874,Cammeo
16990,535.338989,224.087173,98.662636,0.897857,17371,0.600905,Cammeo
14172,500.428986,218.571564,83.363907,0.924409,14399,0.608815,Cammeo
15074,497.178009,205.639816,94.6222,0.887849,15536,0.721106,Cammeo
17353,539.033997,220.961197,101.454102,0.888359,17845,0.630308,Cammeo
13415,470.355011,197.029938,87.652626,0.895595,13629,0.582248,Cammeo
16085,520.705994,217.496307,95.405571,0.898656,16514,0.702709,Cammeo
14023,491.669006,211.159195,85.501366,0.914355,14262,0.539139,Cammeo
13687,481.744995,201.174576,87.957176,0.899355,13979,0.698316,Cammeo
14758,500.01001,206.285141,92.724869,0.893281,15166,0.582399,Cammeo
14944,490.044006,201.346542,96.046318,0.878892,15305,0.610657,Cammeo
16182,509.921997,211.165024,98.313324,0.885008,16522,0.748128,Cammeo
14413,502.049988,211.991638,88.647766,0.90837,14826,0.576082,Cammeo
14321,494.345001,211.668991,86.825417,0.911998,14583,0.561278,Cammeo
15276,506.684998,212.135681,93.063751,0.898634,15574,0.579229,Cammeo
14407,494.98999,208.749039,88.662857,0.905318,14716,0.573756,Cammeo
13272,471.899994,201.49469,84.153793,0.908609,13492,0.565729,Cammeo
14965,483.507996,203.523453,94.311249,0.886153,15151,0.775549,Cammeo
16122,539,233.913513,89.531082,0.923851,16440,0.51116,Cammeo
